ID_REF	VALUE
R10 - C2 : 8	21.31
R10 - C2 : 9	27.22
R10 - C20 : 1	137.49
R10 - C20 : 10	66.17
R10 - C20 : 11	44.33
R10 - C20 : 12	173.49
R10 - C20 : 13	12.51
R10 - C20 : 14	148.10
R10 - C20 : 15	37.33
R10 - C20 : 16	42.71
R10 - C20 : 2	68.96
R10 - C20 : 3	91.28
R10 - C20 : 4	42.87
R10 - C20 : 5	135.13
R10 - C20 : 6	67.20
R10 - C20 : 7	63.91
R10 - C20 : 8	149.56
R10 - C20 : 9	79.40
R10 - C21 : 1	99.34
R10 - C21 : 10	71.70
R10 - C21 : 11	35.52
R10 - C21 : 12	18.75
R10 - C21 : 13	41.18
R10 - C21 : 14	27.62
R10 - C21 : 15	115.50
R10 - C21 : 16	498.97
R10 - C21 : 2	17.81
R10 - C21 : 3	98.68
R10 - C21 : 4	123.48
R10 - C21 : 5	133.15
R10 - C21 : 6	37.35
R10 - C21 : 7	26.66
R10 - C21 : 8	10.10
R10 - C21 : 9	32.58
R10 - C22 : 1	136.77
R10 - C22 : 10	185.09
R10 - C22 : 11	76.78
R10 - C22 : 12	99.03
R10 - C22 : 13	12.69
R10 - C22 : 14	222.29
R10 - C22 : 15	205.59
R10 - C22 : 16	180.87
R10 - C22 : 2	20.76
R10 - C22 : 3	246.10
R10 - C22 : 4	73.05
R10 - C22 : 5	116.56
R10 - C22 : 6	114.09
R10 - C22 : 7	10.41
R10 - C22 : 8	63.66
R10 - C22 : 9	187.20
R10 - C23 : 1	130.76
R10 - C23 : 10	85.58
R10 - C23 : 11	20.58
R10 - C23 : 12	59.63
R10 - C23 : 13	21.63
R10 - C23 : 14	152.66
R10 - C23 : 15	12.21
R10 - C23 : 16	106.07
R10 - C23 : 2	181.19
R10 - C23 : 3	163.44
R10 - C23 : 4	111.11
R10 - C23 : 5	198.94
R10 - C23 : 6	46.63
R10 - C23 : 7	598.95
R10 - C23 : 8	108.18
R10 - C23 : 9	19.44
R10 - C24 : 1	34.85
R10 - C24 : 10	84.19
R10 - C24 : 11	22.07
R10 - C24 : 12	93.87
R10 - C24 : 13	51.75
R10 - C24 : 14	155.33
R10 - C24 : 15	96.18
R10 - C24 : 16	0.00
R10 - C24 : 2	25.77
R10 - C24 : 3	60.06
R10 - C24 : 4	79.13
R10 - C24 : 5	162.02
R10 - C24 : 6	85.81
R10 - C24 : 7	57.66
R10 - C24 : 8	126.15
R10 - C24 : 9	54.50
R10 - C3 : 1	15.43
R10 - C3 : 10	2.29
R10 - C3 : 11	34.64
R10 - C3 : 12	27.56
R10 - C3 : 13	0.00
R10 - C3 : 14	169.50
R10 - C3 : 15	80.78
R10 - C3 : 16	125.76
R10 - C3 : 2	20.01
R10 - C3 : 3	46.75
R10 - C3 : 4	44.00
R10 - C3 : 5	0.00
R10 - C3 : 6	20.28
R10 - C3 : 7	93.93
R10 - C3 : 8	67.68
R10 - C3 : 9	77.93
R10 - C4 : 1	114.24
R10 - C4 : 10	0.00
R10 - C4 : 11	64.18
R10 - C4 : 12	6.60
R10 - C4 : 13	7.41
R10 - C4 : 14	132.03
R10 - C4 : 15	123.19
R10 - C4 : 16	229.78
R10 - C4 : 2	60.75
R10 - C4 : 3	161.05
R10 - C4 : 4	34.78
R10 - C4 : 5	40.41
R10 - C4 : 6	62.03
R10 - C4 : 7	143.65
R10 - C4 : 8	18.43
R10 - C4 : 9	8.02
R10 - C5 : 1	98.36
R10 - C5 : 10	57.84
R10 - C5 : 11	176.11
R10 - C5 : 12	94.53
R10 - C5 : 13	23.28
R10 - C5 : 14	223.71
R10 - C5 : 15	199.52
R10 - C5 : 16	0.00
R10 - C5 : 2	64.46
R10 - C5 : 3	214.69
R10 - C5 : 4	27.39
R10 - C5 : 5	17.53
R10 - C5 : 6	239.86
R10 - C5 : 7	53.32
R10 - C5 : 8	43.70
R10 - C5 : 9	43.76
R10 - C6 : 1	182.97
R10 - C6 : 10	34.05
R10 - C6 : 11	237.90
R10 - C6 : 12	20.44
R10 - C6 : 13	12.61
R10 - C6 : 14	102.13
R10 - C6 : 15	0.00
R10 - C6 : 16	69.13
R10 - C6 : 2	75.06
R10 - C6 : 3	120.52
R10 - C6 : 4	22.12
R10 - C6 : 5	51.70
R10 - C6 : 6	22.93
R10 - C6 : 7	53.13
R10 - C6 : 8	59.79
R10 - C6 : 9	36.57
R10 - C7 : 1	63.07
R10 - C7 : 10	13.58
R10 - C7 : 11	0.00
R10 - C7 : 12	125.17
R10 - C7 : 13	22.55
R10 - C7 : 14	71.77
R10 - C7 : 15	19.34
R10 - C7 : 16	65.59
R10 - C7 : 2	26.19
R10 - C7 : 3	48.70
R10 - C7 : 4	11.80
R10 - C7 : 5	72.00
R10 - C7 : 6	37.32
R10 - C7 : 7	292.50
R10 - C7 : 8	24.08
R10 - C7 : 9	34.04
R10 - C8 : 1	47.41
R10 - C8 : 10	30.15
R10 - C8 : 11	45.85
R10 - C8 : 12	163.19
R10 - C8 : 13	0.00
R10 - C8 : 14	65.99
R10 - C8 : 15	168.62
R10 - C8 : 16	65.18
R10 - C8 : 2	29.86
R10 - C8 : 3	72.75
R10 - C8 : 4	61.13
R10 - C8 : 5	226.70
R10 - C8 : 6	169.43
R10 - C8 : 7	195.62
R10 - C8 : 8	48.63
R10 - C8 : 9	123.02
R10 - C9 : 1	33.76
R10 - C9 : 10	64.77
R10 - C9 : 11	29.83
R10 - C9 : 12	11.78
R10 - C9 : 13	3.71
R10 - C9 : 14	401.67
R10 - C9 : 15	68.15
R10 - C9 : 16	73.05
R10 - C9 : 2	33.80
R10 - C9 : 3	144.27
R10 - C9 : 4	283.53
R10 - C9 : 5	36.09
R10 - C9 : 6	61.46
R10 - C9 : 7	376.70
R10 - C9 : 8	114.19
R10 - C9 : 9	85.69
R11 - C1 : 1	47.93
R11 - C1 : 10	17.85
R11 - C1 : 11	27.23
R11 - C1 : 12	34.89
R11 - C1 : 13	4.98
R11 - C1 : 14	60.36
R11 - C1 : 15	73.91
R11 - C1 : 16	28.81
R11 - C1 : 2	7.69
R11 - C1 : 3	168.16
R11 - C1 : 4	146.24
R11 - C1 : 5	7.88
R11 - C1 : 6	38.78
R11 - C1 : 7	38.48
R11 - C1 : 8	26.50
R11 - C1 : 9	30.88
R11 - C10 : 1	59.28
R11 - C10 : 10	106.33
R11 - C10 : 11	3.25
R11 - C10 : 12	63.07
R11 - C10 : 13	8.08
R11 - C10 : 14	91.63
R11 - C10 : 15	72.61
R11 - C10 : 16	35.24
R11 - C10 : 2	6.17
R11 - C10 : 3	80.80
R11 - C10 : 4	28.87
R11 - C10 : 5	45.14
R11 - C10 : 6	7.27
R11 - C10 : 7	48.47
R11 - C10 : 8	36.56
R11 - C10 : 9	14.93
R11 - C11 : 1	69.16
R11 - C11 : 10	77.37
R11 - C11 : 11	22.47
R11 - C11 : 12	188.29
R11 - C11 : 13	15.68
R11 - C11 : 14	510.80
R11 - C11 : 15	18.80
R11 - C11 : 16	40.58
R11 - C11 : 2	108.19
R11 - C11 : 3	0.00
R11 - C11 : 4	28.10
R11 - C11 : 5	51.33
R11 - C11 : 6	134.20
R11 - C11 : 7	67.65
R11 - C11 : 8	78.33
R11 - C11 : 9	976.69
R11 - C12 : 1	47.95
R11 - C12 : 10	55.01
R11 - C12 : 11	139.97
R11 - C12 : 12	45.95
R11 - C12 : 13	0.00
R11 - C12 : 14	275.50
R11 - C12 : 15	81.30
R11 - C12 : 16	212.31
R11 - C12 : 2	83.40
R11 - C12 : 3	23.74
R11 - C12 : 4	31.29
R11 - C12 : 5	156.78
R11 - C12 : 6	458.22
R11 - C12 : 7	51.07
R11 - C12 : 8	60.02
R11 - C12 : 9	84.89
R11 - C13 : 1	358.63
R11 - C13 : 10	35.52
R11 - C13 : 11	34.05
R11 - C13 : 12	0.00
R11 - C13 : 13	226.64
R11 - C13 : 14	143.41
R11 - C13 : 15	10.75
R11 - C13 : 16	57.24
R11 - C13 : 2	16.62
R11 - C13 : 3	52.62
R11 - C13 : 4	71.39
R11 - C13 : 5	159.87
R11 - C13 : 6	148.25
R11 - C13 : 7	74.61
R11 - C13 : 8	218.96
R11 - C13 : 9	51.71
R11 - C14 : 1	115.59
R11 - C14 : 10	48.90
R11 - C14 : 11	19.66
R11 - C14 : 12	158.49
R11 - C14 : 13	0.00
R11 - C14 : 14	112.06
R11 - C14 : 15	205.54
R11 - C14 : 16	44.68
R11 - C14 : 2	144.62
R11 - C14 : 3	498.51
R11 - C14 : 4	71.19
R11 - C14 : 5	74.20
R11 - C14 : 6	204.72
R11 - C14 : 7	35.93
R11 - C14 : 8	61.26
R11 - C14 : 9	77.14
R11 - C15 : 1	648.93
R11 - C15 : 10	50.52
R11 - C15 : 11	47.49
R11 - C15 : 12	0.00
R11 - C15 : 13	23.49
R11 - C15 : 14	179.36
R11 - C15 : 15	717.00
R11 - C15 : 16	6.57
R11 - C15 : 2	8.15
R11 - C15 : 3	104.39
R11 - C15 : 4	82.46
R11 - C15 : 5	128.28
R11 - C15 : 6	33.81
R11 - C15 : 7	148.11
R11 - C15 : 8	117.12
R11 - C15 : 9	92.70
R11 - C16 : 1	45.99
R11 - C16 : 10	32.89
R11 - C16 : 11	516.35
R11 - C16 : 12	153.65
R11 - C16 : 13	13.94
R11 - C16 : 14	441.72
R11 - C16 : 15	145.44
R11 - C16 : 16	41.57
R11 - C16 : 2	137.85
R11 - C16 : 3	270.66
R11 - C16 : 4	64.29
R11 - C16 : 5	46.14
R11 - C16 : 6	47.29
R11 - C16 : 7	617.76
R11 - C16 : 8	133.41
R11 - C16 : 9	21.12
R11 - C17 : 1	55.14
R11 - C17 : 10	8.43
R11 - C17 : 11	43.60
R11 - C17 : 12	19.19
R11 - C17 : 13	72.13
R11 - C17 : 14	379.62
R11 - C17 : 15	169.27
R11 - C17 : 16	33.25
R11 - C17 : 2	94.18
R11 - C17 : 3	0.00
R11 - C17 : 4	205.84
R11 - C17 : 5	119.74
R11 - C17 : 6	905.15
R11 - C17 : 7	115.39
R11 - C17 : 8	62.42
R11 - C17 : 9	134.96
R11 - C18 : 1	130.17
R11 - C18 : 10	12.67
R11 - C18 : 11	14.25
R11 - C18 : 12	48.38
R11 - C18 : 13	0.00
R11 - C18 : 14	122.64
R11 - C18 : 15	54.04
R11 - C18 : 16	25.56
