ID_REF	VALUE
R11 - C10 : 8	11.63
R11 - C10 : 9	6.07
R11 - C11 : 1	99.68
R11 - C11 : 10	32.44
R11 - C11 : 11	23.23
R11 - C11 : 12	143.53
R11 - C11 : 13	13.66
R11 - C11 : 14	356.19
R11 - C11 : 15	9.17
R11 - C11 : 16	20.24
R11 - C11 : 2	37.04
R11 - C11 : 3	0.00
R11 - C11 : 4	12.26
R11 - C11 : 5	30.78
R11 - C11 : 6	63.56
R11 - C11 : 7	30.21
R11 - C11 : 8	15.69
R11 - C11 : 9	1992.83
R11 - C12 : 1	32.99
R11 - C12 : 10	36.08
R11 - C12 : 11	74.52
R11 - C12 : 12	50.31
R11 - C12 : 13	0.00
R11 - C12 : 14	74.20
R11 - C12 : 15	52.80
R11 - C12 : 16	173.13
R11 - C12 : 2	93.58
R11 - C12 : 3	51.59
R11 - C12 : 4	18.40
R11 - C12 : 5	75.05
R11 - C12 : 6	1151.38
R11 - C12 : 7	86.85
R11 - C12 : 8	73.99
R11 - C12 : 9	51.20
R11 - C13 : 1	207.32
R11 - C13 : 10	22.77
R11 - C13 : 11	23.45
R11 - C13 : 12	0.00
R11 - C13 : 13	96.46
R11 - C13 : 14	90.50
R11 - C13 : 15	10.49
R11 - C13 : 16	39.92
R11 - C13 : 2	15.38
R11 - C13 : 3	51.85
R11 - C13 : 4	108.31
R11 - C13 : 5	301.23
R11 - C13 : 6	82.30
R11 - C13 : 7	37.92
R11 - C13 : 8	142.77
R11 - C13 : 9	23.49
R11 - C14 : 1	98.60
R11 - C14 : 10	32.00
R11 - C14 : 11	8.35
R11 - C14 : 12	51.74
R11 - C14 : 13	0.00
R11 - C14 : 14	77.11
R11 - C14 : 15	67.53
R11 - C14 : 16	20.36
R11 - C14 : 2	80.64
R11 - C14 : 3	277.62
R11 - C14 : 4	34.71
R11 - C14 : 5	193.38
R11 - C14 : 6	65.67
R11 - C14 : 7	36.15
R11 - C14 : 8	124.84
R11 - C14 : 9	46.98
R11 - C15 : 1	129.13
R11 - C15 : 10	50.21
R11 - C15 : 11	28.22
R11 - C15 : 12	0.00
R11 - C15 : 13	10.53
R11 - C15 : 14	99.48
R11 - C15 : 15	228.92
R11 - C15 : 16	2.44
R11 - C15 : 2	3.95
R11 - C15 : 3	89.16
R11 - C15 : 4	52.70
R11 - C15 : 5	56.94
R11 - C15 : 6	21.62
R11 - C15 : 7	42.67
R11 - C15 : 8	53.15
R11 - C15 : 9	31.45
R11 - C16 : 1	15.11
R11 - C16 : 10	26.80
R11 - C16 : 11	165.46
R11 - C16 : 12	86.87
R11 - C16 : 13	0.00
R11 - C16 : 14	227.82
